epoch,train_loss,lr,f1_t,f1_n,f1_m,f1_macro_avg,exact_match,micro_f1,macro_precision,macro_recall,n_valid_t,n_valid_n,n_valid_m,train_f1_t,train_f1_n,train_f1_m,train_f1_macro_avg,train_exact_match,train_micro_f1,train_macro_precision,train_macro_recall,train_n_valid_t,train_n_valid_n,train_n_valid_m
1,2.8460820973658363,1.9961684650182967e-05,0.502137598255658,0.5446247400534642,0.5818836448865503,0.5428819943985576,0.3567567567567568,0.7294208491218042,0.5900842530868354,0.526035816439737,2271.0,2001.0,1658.0,0.5079890854726933,0.5679123740556362,0.5983002956142778,0.5580672517142025,0.369727047146402,0.7356439584048325,0.6135028343879877,0.5378662785096376,5853.0,4826.0,3916.0
2,1.4003590725152286,1.865896600155385e-05,0.8124951748833218,0.8469591735748567,0.6146071288303236,0.7580204924295008,0.722972972972973,0.8972876771043269,0.8824172615603452,0.7407190392220819,2271.0,2001.0,1658.0,0.8360326232464603,0.8660922302159475,0.6522820103001243,0.784802287920844,0.7299421009098428,0.9029299180427842,0.8903090791259176,0.764636023439261,5853.0,4826.0,3916.0
3,0.9897986244815188,1.5734006127600423e-05,0.846330850023427,0.8869341536000265,0.5758935222273756,0.7697195086169429,0.7628378378378379,0.9144604161898986,0.9009131208172502,0.7639426877155925,2271.0,2001.0,1658.0,0.8727338150381089,0.9191586410259284,0.6004889932543557,0.797460483106131,0.782464846980976,0.9253786913617227,0.9152250061075096,0.7889720066326403,5853.0,4826.0,3916.0
4,0.7702386243723238,1.1734790837378309e-05,0.8809536800354877,0.9187958005119339,0.791511332031481,0.8637536041929677,0.8195945945945946,0.9348363827093925,0.889580056524594,0.8449936974775433,2271.0,2001.0,1658.0,0.9218715544703522,0.9606745420880781,0.8470807377288656,0.9098756114290986,0.8664185277088503,0.9551103565796092,0.9278002277401075,0.8954037855780584,5853.0,4826.0,3916.0
5,0.5351409007324546,7.410565700344815e-06,0.9034110246577997,0.9383993595949285,0.8228214604718497,0.8882106149081926,0.856081081081081,0.9482686965361354,0.9326331693905493,0.8640930970433457,2271.0,2001.0,1658.0,0.955709615194983,0.9766620027388815,0.919485631928443,0.9506190832874358,0.9222497932175352,0.9750509894042096,0.971467527964208,0.9350492234025695,5853.0,4826.0,3916.0
6,0.2906924298184925,3.5714662781386554e-06,0.9157612509952024,0.9422611727891731,0.8847574939455798,0.9142599725766519,0.8777027027027027,0.9561001120009626,0.9414037802256722,0.8944293044690329,2271.0,2001.0,1658.0,0.9789616305120354,0.9900368789462517,0.9719413893168058,0.9803132995916976,0.9623655913978495,0.9887676395048445,0.985193534992653,0.9757870600120239,5853.0,4826.0,3916.0
7,0.13422977918634396,9.367407292240228e-07,0.9243097039625487,0.9498530879324032,0.8847574939455798,0.9196400952801772,0.8871621621621621,0.9596542574293493,0.946985611692174,0.8996529301607653,2271.0,2001.0,1658.0,0.9896368297422369,0.9956819181059459,0.9835799382570456,0.9896328953684095,0.9801488833746899,0.994307334970784,0.9927899460345079,0.9865985596274965,5853.0,4826.0,3916.0
8,0.06326465401922186,0.0,0.9243049104376816,0.944802607747969,0.8847574939455798,0.9179550040437435,0.8858108108108108,0.9593210906793909,0.9466314251682325,0.896812308627348,2271.0,2001.0,1658.0,0.9904245295366706,0.9976557422285179,0.9877719130794107,0.9919507282815331,0.9838709677419355,0.9955542055366241,0.9939950777775578,0.9899546694503499,5853.0,4826.0,3916.0
